City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
137,Tigil,RU,2022-11-22 21:13:09,57.8,158.6667,28.11,93,100,9.26
138,Cabo San Lucas,MX,2022-11-22 21:10:08,22.8909,-109.9124,82.62,58,0,8.05
139,Port Hardy,CA,2022-11-22 21:13:10,50.6996,-127.4199,45.88,89,100,5.32
140,Eyl,SO,2022-11-22 21:13:10,7.9803,49.8164,77.43,69,77,16.11
141,Airai,TL,2022-11-22 21:13:10,-8.9266,125.4092,62.1,88,100,1.32
142,Juneau,US,2022-11-22 21:10:11,58.3019,-134.4197,43.21,94,100,17.27
143,Iqaluit,CA,2022-11-22 21:13:10,63.7506,-68.5145,-2.76,98,90,4.14
144,Poum,NC,2022-11-22 21:13:11,-20.2333,164.0167,79.88,79,42,7.14
145,Stornoway,GB,2022-11-22 21:13:11,58.2093,-6.3865,37.36,87,75,3.44
146,Pacific Grove,US,2022-11-22 21:13:11,36.6177,-121.9166,68.23,41,0,5.01
147,Lagoa,PT,2022-11-22 21:13:12,39.05,-27.9833,61.2,79,100,17.05
148,Barrow,US,2022-11-22 21:13:12,71.2906,-156.7887,12.22,85,100,18.41
149,Tautira,PF,2022-11-22 21:13:13,-17.7333,-149.15,76.59,83,31,15.03
150,Manta,EC,2022-11-22 21:13:13,-0.95,-80.7333,80.38,65,40,10.36
151,Sosnovo-Ozerskoye,RU,2022-11-22 21:13:13,52.5249,111.5418,-1.05,93,20,2.21
152,Swan River,CA,2022-11-22 21:13:14,52.1058,-101.2676,33.26,84,94,11.1
153,Parksville,CA,2022-11-22 21:13:14,49.3163,-124.3195,46.72,99,100,4.18
154,Presidencia Roque Saenz Pena,AR,2022-11-22 21:13:15,-26.7852,-60.4388,83.19,20,0,8.99
155,Santiago Del Estero,AR,2022-11-22 21:13:15,-27.7951,-64.2615,83.48,27,0,5.64
156,Sabang,ID,2022-11-22 21:13:15,5.8933,95.3214,81.3,74,98,13.71
157,Tiksi,RU,2022-11-22 21:13:16,71.6872,128.8694,-22.32,100,82,1.57
158,Sola,VU,2022-11-22 21:13:16,-13.8833,167.55,82.85,72,15,14.0
159,Mastic Beach,US,2022-11-22 21:13:16,40.7668,-72.8521,49.17,57,0,13.0
160,Vestmanna,FO,2022-11-22 21:13:16,62.1564,-7.1664,38.32,70,100,13.8
161,Ahipara,NZ,2022-11-22 21:13:17,-35.1667,173.1667,61.03,76,11,18.05
162,Egvekinot,RU,2022-11-22 21:13:17,66.3167,-179.1667,-21.15,77,14,10.2
163,Dunedin,NZ,2022-11-22 21:13:17,-45.8742,170.5036,58.35,56,18,4.29
164,Mezen,RU,2022-11-22 21:13:18,65.8522,44.24,20.44,97,71,4.27
165,Guane,CU,2022-11-22 21:13:18,22.2025,-84.0875,82.35,67,52,5.39
166,Nome,US,2022-11-22 21:13:18,64.5011,-165.4064,17.67,93,100,4.61
167,High Level,CA,2022-11-22 21:13:19,58.5169,-117.136,39.29,79,81,6.53
168,Seka,TH,2022-11-22 21:13:19,17.9285,103.9552,72.23,84,90,2.98
169,Khash,IR,2022-11-22 21:13:20,28.2211,61.2158,49.42,27,14,3.8
170,San Cristobal,VE,2022-11-22 21:13:20,7.7669,-72.225,77.18,66,52,2.28
171,Bud,US,2022-11-22 21:13:20,39.447,-86.1758,56.48,34,0,9.75
172,Klaksvik,FO,2022-11-22 21:13:21,62.2266,-6.589,40.12,90,100,27.87
173,Dikson,RU,2022-11-22 21:13:21,73.5069,80.5464,-12.05,92,100,14.7
174,Viedma,AR,2022-11-22 21:13:21,-40.8135,-62.9967,84.87,19,64,5.95
175,Port Macquarie,AU,2022-11-22 21:13:22,-31.4333,152.9167,64.89,52,61,5.17
176,Okhotsk,RU,2022-11-22 21:13:22,59.3833,143.3,9.55,84,100,17.47
177,Yar-Sale,RU,2022-11-22 21:13:22,66.8333,70.8333,-13.45,96,93,6.02
178,Oytal,KZ,2022-11-22 21:13:23,42.9057,73.2697,44.69,80,99,2.42
179,Karasjok,NO,2022-11-22 21:13:23,69.4719,25.5112,19.67,100,100,3.58
180,Dhrangadhra,IN,2022-11-22 21:13:23,22.9833,71.4667,70.18,37,74,6.02
181,Hirara,JP,2022-11-22 21:13:24,24.8,125.2833,75.4,88,100,7.11
182,Dickinson,US,2022-11-22 21:10:59,29.4608,-95.0513,57.36,71,100,8.05
183,Chabahar,IR,2022-11-22 21:14:24,25.2919,60.643,77.09,61,3,8.57
184,College,US,2022-11-22 21:14:05,64.8569,-147.8028,19.2,88,75,0.0
185,Ancud,CL,2022-11-22 21:14:25,-41.8697,-73.8203,55.9,96,100,9.04
186,Norman Wells,CA,2022-11-22 21:14:25,65.282,-126.8329,17.56,94,100,9.33
187,Bathsheba,BB,2022-11-22 21:14:25,13.2167,-59.5167,81.21,78,20,19.57
188,Bandarbeyla,SO,2022-11-22 21:14:26,9.4942,50.8122,78.08,69,34,18.9
189,Ribeira Grande,PT,2022-11-22 21:14:26,38.5167,-28.7,64.78,88,75,12.66
190,Boguchany,RU,2022-11-22 21:14:26,58.3814,97.4531,10.22,95,100,5.41
191,Upernavik,GL,2022-11-22 21:12:57,72.7868,-56.1549,14.77,85,100,4.16
192,Bethel,US,2022-11-22 21:13:48,41.3712,-73.414,48.49,44,0,4.61
193,Saldanha,ZA,2022-11-22 21:14:27,-33.0117,17.9442,61.23,87,0,7.54
194,Saint-Philippe,RE,2022-11-22 21:14:27,-21.3585,55.7679,74.79,83,99,6.22
195,Kavaratti,IN,2022-11-22 21:14:27,10.5669,72.642,79.47,54,47,3.98
196,Avarua,CK,2022-11-22 21:14:28,-21.2078,-159.775,77.05,83,75,6.91
197,Oblivskaya,RU,2022-11-22 21:14:28,48.5362,42.5014,52.74,91,100,16.6
198,Tukrah,LY,2022-11-22 21:14:28,32.5341,20.5791,63.88,58,28,15.03
199,Ninghai,CN,2022-11-22 21:14:29,29.2892,121.4247,59.47,86,96,10.31
200,Port Elizabeth,ZA,2022-11-22 21:14:29,-33.918,25.5701,68.31,84,38,1.99
201,Kavieng,PG,2022-11-22 21:14:29,-2.5744,150.7967,84.04,66,94,12.59
202,Okha,RU,2022-11-22 21:14:30,53.5739,142.9478,21.63,85,100,19.93
203,Zharkent,KZ,2022-11-22 21:14:30,44.1628,80.0,37.11,97,100,10.16
204,Dapdap,PH,2022-11-22 21:14:30,12.062,125.4881,79.9,86,100,8.68
205,Toba,JP,2022-11-22 21:14:31,34.4833,136.85,60.8,75,75,10.92
206,Sioux Lookout,CA,2022-11-22 21:14:31,50.1001,-91.917,28.62,92,100,5.28
207,Nadym,RU,2022-11-22 21:14:31,65.5333,72.5167,-18.47,99,93,7.63
208,Nieves,PH,2022-11-22 21:14:31,15.3274,120.9485,74.88,89,79,2.26
209,Grand-Lahou,CI,2022-11-22 21:14:32,5.1367,-5.0242,78.82,85,95,7.56
210,Kenai,US,2022-11-22 21:14:32,60.5544,-151.2583,35.15,96,100,0.0
211,La Ronge,CA,2022-11-22 21:14:32,55.1001,-105.2842,33.04,97,100,4.5
212,Havoysund,NO,2022-11-22 21:14:33,70.9963,24.6622,30.43,80,10,12.15
213,Felanitx,ES,2022-11-22 21:14:33,39.4696,3.1483,62.96,61,100,20.96
214,Garmsar,IR,2022-11-22 21:14:33,35.2182,52.3409,53.28,29,43,1.95
215,Zastron,ZA,2022-11-22 21:14:34,-30.3023,27.084,52.05,78,3,5.23
216,Pandamatenga,BW,2022-11-22 21:14:34,-18.5278,25.627,68.88,70,100,8.03
217,Llata,PE,2022-11-22 21:14:34,-9.4167,-76.7833,57.87,77,100,1.77
218,Cockburn Town,TC,2022-11-22 21:14:35,21.4612,-71.1419,81.46,77,1,21.9
219,Matadi,CD,2022-11-22 21:14:35,-5.8167,13.45,77.2,81,35,2.08
220,Coruripe,BR,2022-11-22 21:14:27,-10.1256,-36.1756,77.23,78,49,11.25
221,Adelaide,AU,2022-11-22 21:14:35,-34.9333,138.6,58.48,78,75,8.05
222,Qaqortoq,GL,2022-11-22 21:14:35,60.7167,-46.0333,23.36,80,100,5.91
223,Clyde River,CA,2022-11-22 21:14:36,70.4692,-68.5914,7.84,60,100,18.63
224,Muscle Shoals,US,2022-11-22 21:14:36,34.7448,-87.6675,63.75,26,0,1.01
225,Chumphon,TH,2022-11-22 21:14:36,10.3333,98.8333,69.28,98,100,2.91
226,Atar,MR,2022-11-22 21:14:37,20.5169,-13.0499,70.32,17,0,9.24
227,Dalby,AU,2022-11-22 21:14:37,-27.1833,151.2667,62.98,44,99,8.16
228,Cap Malheureux,MU,2022-11-22 21:14:37,-19.9842,57.6142,73.47,78,1,1.99
